city/county,state,date,positive_tests,total_tests
Chicago,Illinois,2020/05/17,371,2521
Chicago,Illinois,2020/07/07,402,9506
Chicago,Illinois,2021/07/22,255,10838
Chicago,Illinois,2021/10/19,386,28161
Chicago,Illinois,2020/07/10,428,8749
Chicago,Illinois,2021/02/01,735,16588
Chicago,Illinois,2021/11/16,865,34302
Chicago,Illinois,2020/09/20,113,3422
Chicago,Illinois,2020/10/02,502,10685
Chicago,Illinois,2020/10/26,1712,16021
Chicago,Illinois,2021/01/02,1255,9286
Chicago,Illinois,2020/03/11,8,65
Chicago,Illinois,2020/09/03,440,8138
Chicago,Illinois,2020/04/04,315,1081
Chicago,Illinois,2021/10/20,365,25966
Chicago,Illinois,2020/10/11,304,4707
Chicago,Illinois,2021/02/21,185,5282
Chicago,Illinois,2020/12/15,1926,19054
Chicago,Illinois,2021/12/11,1054,15722
Chicago,Illinois,2020/08/11,458,9960
Chicago,Illinois,2022/02/24,280,39393
Chicago,Illinois,2021/11/08,694,36581
Chicago,Illinois,2020/04/26,443,1785
Chicago,Illinois,2021/09/12,285,6919
Chicago,Illinois,2020/04/23,1468,4700
Chicago,Illinois,2020/04/21,876,3147
Chicago,Illinois,2021/02/23,376,15991
Chicago,Illinois,2021/09/23,468,22497
Chicago,Illinois,2022/03/13,101,5149
Chicago,Illinois,2021/07/03,51,5427
Chicago,Illinois,2022/03/16,268,30957
Chicago,Illinois,2021/07/26,330,12946
Chicago,Illinois,2020/12/07,2424,21193
Chicago,Illinois,2021/10/10,208,6579
Chicago,Illinois,2022/01/06,6789,36437
Chicago,Illinois,2021/08/03,445,15731
Chicago,Illinois,2020/08/23,139,2873
Chicago,Illinois,2020/06/14,122,2202
Chicago,Illinois,2022/01/01,2008,9679
Chicago,Illinois,2020/05/12,1078,5390
Chicago,Illinois,2021/11/17,898,29849
Chicago,Illinois,2021/11/23,837,33111
Chicago,Illinois,2021/03/24,602,12945
Chicago,Illinois,2020/09/07,101,2437
Chicago,Illinois,2021/12/07,1387,37589
Chicago,Illinois,2022/02/17,386,31823
Chicago,Illinois,2020/07/20,468,10010
Chicago,Illinois,2020/07/23,370,8080
Chicago,Illinois,2021/11/22,915,37529
Chicago,Illinois,2020/08/08,197,3979
Chicago,Illinois,2021/10/31,277,7474
Chicago,Illinois,2020/06/15,353,6695
Chicago,Illinois,2020/05/23,405,3446
Chicago,Illinois,2021/12/20,6465,52543
Chicago,Illinois,2021/10/08,408,20391
Chicago,Illinois,2020/07/16,377,8556
Chicago,Illinois,2020/08/18,456,10186
Chicago,Illinois,2020/04/13,695,2325
Chicago,Illinois,2021/10/29,448,21219
Chicago,Illinois,2021/08/13,676,17913
Chicago,Illinois,2021/03/07,203,4657
Chicago,Illinois,2020/03/04,0,11
Chicago,Illinois,2021/11/18,794,30443
Chicago,Illinois,2020/08/29,260,5064
Chicago,Illinois,2021/11/14,468,9390
Chicago,Illinois,2021/10/01,470,22388
Chicago,Illinois,2020/04/29,1052,4260
Chicago,Illinois,2021/11/26,651,15529
Chicago,Illinois,2020/04/22,1090,4229
Chicago,Illinois,2021/03/02,411,16272
Chicago,Illinois,2021/09/05,320,5796
Chicago,Illinois,2021/01/12,1266,18030
Chicago,Illinois,2020/08/07,476,8571
Chicago,Illinois,2021/06/03,131,8930
